sku_produto_final,produto_final,sku_item,descricao_item,qtd_padrao,unidade
00504013,Bombom Chocolate com café 50g,0050302002,Amêndoa de Cacau Torrada - Sakaguchi(PA),0.03135,KG
00504013,Bombom Chocolate com café 50g,0050303003,Nibs de Cacau - Sakaguchi(PA),0.0285,KG
00504013,Bombom Chocolate com café 50g,0050304004,Liquor de Cacau - Sakaguchi (PA),0.0285,KG
00504013,Bombom Chocolate com café 50g,0140106004,Açúcar Demerara,0.01425,KG
00504013,Bombom Chocolate com café 50g,9990307005,Manteiga de Cacau Yanomami terc,0.00665,KG
00504013,Bombom Chocolate com café 50g,0050301008,Bombom de Chocolate e Café,0.05,KG
00504013,Bombom Chocolate com café 50g,0190214023,Cartão Surpresa MINI - Prima Stampa,1,UN
00504013,Bombom Chocolate com café 50g,0360213002,EMBALAGEM BOMBOM DE CHOCOLATE 50G,1,UN
00504013,Bombom Chocolate com café 50g,9970212003,ETIQ ADESIVA | PAPEL COUCHE A20-C | 30X3,1,UN
00504013,Bombom Chocolate com café 50g,9970212004,ETIQ PIMACO A4348 LASER 100F 9600UND,1,UN
00504013,Bombom Chocolate com café 50g,9990115001,SAQUINHO BIODEGRADAVEL COMPOSTAVEL,0.00166,KG
00504013,Bombom Chocolate com café 50g,9990712002,ETIQUETA PARA QR CODE 40x40mm,1,UN
00504013,Bombom Chocolate com café 50g,0070301006,Amêndoa de Cacau Seca Aprovada - Yanomam,0.007888,KG
00504015,Biscoito C. Pará Chocolate,0050301007,Amêndoa de Cacau Seca Aprovada - Sakaguc,0.308241,KG
00504015,Biscoito C. Pará Chocolate,0050302002,Amêndoa de Cacau Torrada - Sakaguchi(PA),0.308241,KG
00504015,Biscoito C. Pará Chocolate,0050303003,Nibs de Cacau - Sakaguchi(PA),0.280219,KG
00504015,Biscoito C. Pará Chocolate,0050304004,Liquor de Cacau - Sakaguchi (PA),0.280219,KG
00504015,Biscoito C. Pará Chocolate,0140106004,Açúcar Demerara,0.140109,KG
00504015,Biscoito C. Pará Chocolate,9990307005,Manteiga de Cacau Yanomami terc,0.065384,KG
00504015,Biscoito C. Pará Chocolate,0050108008,Biscoito de castanha do Pará,0.530969,KG
00504015,Biscoito C. Pará Chocolate,0050111002,Aromatizante Puxuri,0.0002,KG
00504015,Biscoito C. Pará Chocolate,0050305009,Massa de Chocolate - Chocolate 60% - Sak,0.467031,KG
00504015,Biscoito C. Pará Chocolate,9990111001,Flor de Sal,0.0018,KG
00504015,Biscoito C. Pará Chocolate,0050308011,Biscoito de castanha do Pará banhado com,1,KG
00504015,Biscoito C. Pará Chocolate,9990115001,SAQUINHO BIODEGRADAVEL COMPOSTAVEL,0.0064,KG
00504015,Biscoito C. Pará Chocolate,0070301006,Amêndoa de Cacau Seca Aprovada - Yanomam,0.077559,KG
00504016,Bombom Chocolate com Café Granel,0050305009,Massa de Chocolate - Chocolate 60% - Sak,0.95,KG
00504016,Bombom Chocolate com Café Granel,0050105001,Bombom de Chocolate,0.95,KG
00504016,Bombom Chocolate com Café Granel,03301011001,Café em pó - Apuí,0.05,KG
00504016,Bombom Chocolate com Café Granel,0050301007,Amêndoa de Cacau Seca Aprovada - Sakaguc,0.627,KG
00504016,Bombom Chocolate com Café Granel,0050302002,Amêndoa de Cacau Torrada - Sakaguchi(PA),0.627,KG
00504016,Bombom Chocolate com Café Granel,0050303003,Nibs de Cacau - Sakaguchi(PA),0.57,KG
00504016,Bombom Chocolate com Café Granel,0050304004,Liquor de Cacau - Sakaguchi (PA),0.57,KG
00504016,Bombom Chocolate com Café Granel,0140106004,Açúcar Demerara,0.285,KG
00504016,Bombom Chocolate com Café Granel,9990307005,Manteiga de Cacau Yanomami terc,0.133,KG
00504016,Bombom Chocolate com Café Granel,0050301008,Bombom de Chocolate e Café,1,KG
00504016,Bombom Chocolate com Café Granel,9990115001,SAQUINHO BIODEGRADAVEL COMPOSTAVEL,0.00664,KG
00504016,Bombom Chocolate com Café Granel,0070301006,Amêndoa de Cacau Seca Aprovada - Yanomam,0.157766,KG
00504018,OVO Sakaguchi ao leite,0050301007,Amêndoa de Cacau Seca Aprovada - Sakaguc,0.11,KG
00504018,OVO Sakaguchi ao leite,0050302002,Amêndoa de Cacau Torrada - Sakaguchi(PA),0.11,KG
00504018,OVO Sakaguchi ao leite,0050303003,Nibs de Cacau - Sakaguchi(PA),0.114011,KG
00504018,OVO Sakaguchi ao leite,0320305032,Massa de Chocolate - Chocolate - Sakaguc,0.25,KG
