sku,descricao,categoria_produto,unidade
9990111082,GOMA ARABICA,Materia Prima,KG
999011181,Maltitol em pó,Materia Prima,KG
9990111067,Bicarbonato de Sódio,Materia Prima,KG
9990111053,MALTODEXTRINA DE10 1910,Materia Prima,KG
9990111054,Sorbato de Potássio Granulado,Materia Prima,KG
0080301006,Amêndoa de Cupuaçu Aprovada - Santa Bárb,Materia Prima,KG
0190213109,Bobina térmica,Embalagem,PC
0190213110,Bobina para envio,Embalagem,PC
1050,Semente Puxuri Manioca,Material de Consumo,KG
099101501,Tela De Nylon AB.150µ C/100 CM,Material de Consumo,MT
0190213119,Sacola de Papel Tamanho G,Embalagem,PC
019021312,SACOLA SEBASTIÃO SALGADO 27 X 33,Embalagem,PC
0190213120,Sacola Sebastião Salgado,Embalagem,PC
877,PINCA RETA SERRILHADA 20CM INOX,Material de Consumo,PC
1104,Molde para barra ES,Material de Consumo,PC
0990866067,Forma Tablet Retangular 4x6,Ativo Imobilizado,PC
09908150009,Mini cavalete,Material de Consumo,PC
0991015007,Jaleco manga longa masculino,Material de Consumo,PC
0991015003,Jaleco Feminino Manga Longa,Material de Consumo,PC
09908661001,Seladora á vacuo comercial,Ativo Imobilizado,PC
09908661002,Máquina de Costura,Ativo Imobilizado,PC
0990866102,Celular Corporativo,Ativo Imobilizado,PC
9990451005,Cadeira De Escritório Fábrica,Ativo Imobilizado,PC
9990451006,Mesa Kuadra Office c/ Gaveteiro,Ativo Imobilizado,PC
AF360,Notebook Lenovo IdeaPad Slim 3i Intel,Ativo Imobilizado,UN
01104002,Cascas de Cacau - Acará-Açu (PA),Produto em Processo,KG
0190213123,Plastico termoformavel formigueiros,Embalagem,PC
9990712058,Bobina Papel Etiqueta Niimbot nova,Embalagem,PC
9990451004,Mesa de Bistro,Ativo Imobilizado,PC
0190213076,Embalagem Flowpack choco ao leite,Embalagem,PC
0190213101,Flowpack ES Chocolate Lt Maracujá 29g,Embalagem,PC
0190213102,Flowpack ES Chocolate Lt Pistache 29g,Embalagem,PC
0190213090,Flowpack LO Leite,Embalagem,PC
0190213091,Flowpack LO Leite c/ Praliné,Embalagem,PC
0190213092,Flowpack LO Intenso,Embalagem,PC
0190213093,Flowpack LO Intenso c/ Praliné,Embalagem,PC
0190213094,Flowpack LO Cupulate,Embalagem,PC
9990111069,Óleo de Soja,Materia Prima,LT
0190213104,Folha papel barrado Mágio,Embalagem,UN
0990866042,CUMBUCA OVAL ORGÂNICO NEW WHITE,Ativo Imobilizado,PC
0990866043,TRAV OVAL RASA MINI ORGÂNICO,Ativo Imobilizado,PC
0260101001,Amêndoa de Cacau Seca Aprovada- Moju-Pa,Materia Prima,KG
290101001,Amêndoa de cacau seca aprovada Igarapé M,Materia Prima,KG
1103,Berço amores da amazonia 245x160x30mm,Embalagem,PC
958,Desenvolvimento,Embalagem,PC
0990866041,Forma Brunner 00001707,Ativo Imobilizado,PC
0990866097,Forma Barra Dubai,Ativo Imobilizado,PC
0990866030,Forma Brunner 00001709,Ativo Imobilizado,PC
0990866031,Forma Brunner 00001710,Ativo Imobilizado,PC
0990866032,Forma Brunner 00001711,Ativo Imobilizado,PC
0990866033,Forma Brunner 00001712,Ativo Imobilizado,PC
0990866034,Forma Brunner 00001713,Ativo Imobilizado,PC
0990866035,Forma Brunner 00001714,Ativo Imobilizado,PC
0990866036,Forma Brunner 00000632 desenvolvi 1,Ativo Imobilizado,PC
0990866037,Forma Brunner 00000632 desenvolvi 2,Ativo Imobilizado,PC
0990866038,Forma Brunner 00000632 desenvolvi 3,Ativo Imobilizado,PC
0990866039,Forma Brunner 00000632 desenvolvi 4,Ativo Imobilizado,PC
0990866040,Forma Brunner 00001708,Ativo Imobilizado,PC
0190213043,Berço Caixa Tripla 67 x 23 cm,Embalagem,PC
0190213044,Berço caixa dupla 58 x 23 cm,Embalagem,PC
1026,LANCHE NATURAL,Material de Consumo,PC
099081500091,Kit preços loja,Ativo Imobilizado,PC
0990915001,Kalyclean N 781,Material de Consumo,LT
0990915006,Kalyclena H 160,Material de Consumo,PC
0990915007,Allkaly LG,Material de Consumo,PC
09908150013,Saco de Juta de café 98x71cm 60kg,Embalagem,PC
486, SACO DE JUTA CAFE ECONTAINER 98X71CM 60,Material de Consumo,UN
9990111020,Avelã,Materia Prima,KG
0020301006,Amêndoa de Cacau Seca Aprovada - Mocajub,Materia Prima,KG
9990451008,cadeira apontador fabrica,Ativo Imobilizado,PC
1057,BANDEJA SERVIR BAMBU,Material de Consumo,PC
0190213108,Cesta palha com alça,Embalagem,UN
963,Esponja dupla face 3m-scotch brite,Material de limpeza,PC
965,Papel higiênico,Material de Consumo,PC
966,Papel toalha,Material de Consumo,PC
99904510091,Perflex branco,Material de limpeza,PC
99904510092,Perflex verde,Material de limpeza,PC
1016,ADPT SOLD,Material de Consumo,PC
1017,NIPEL ROSC PVC 1/2,Material de Consumo,PC
1018,Registro esfera metalico,Material de Consumo,PC
9990111060,Manteiga com sal,Materia Prima,KG
0190213114,Prato Base Cerâmica,Embalagem,PC
099081500081,Kit escrita cristal,Material de Consumo,PC
099081500082,Cartão datas comemorativas,Material de Consumo,PC
099081500084,Alfinete para mapa,Material de Consumo,PC
099081500085,Etiqueta escolar,Material de Consumo,PC
099081500086,Cartolina Branca,Material de Consumo,PC
1124,Mousepad,Material de Consumo,PC
1106,Cartão Datas Comemorativas Grande,Embalagem,PC
05004145,Chocotone bites 200g,Produto Acabado,UN
1065,Controle remoto led,Material de Consumo,PC
9990111058,Tapereba Liofilizado,Materia Prima,KG
9990111059,Cupuaçu Liofilizado,Materia Prima,KG
9990111065,Açaí Liofilizado,Materia Prima,KG
9990111062,Tucumã Liofilizado,Materia Prima,KG
9990111081,BURITI LIOFILIZADO,Materia Prima,KG
0990866054,Balança 5kg,Ativo Imobilizado,PC
0990866047,Forma Flow Martellato,Ativo Imobilizado,PC
0300102001,Amêndoa de cacau seca aprovada Ito,Materia Prima,KG
0990866048,Purificador,Ativo Imobilizado,PC
05004146,"Panettone com gotas de chocolate 600g
",Produto Acabado,UN
0200216012,Papel Celofane,Embalagem,PC
09908660401,Filtro Purificador Copa,Material de Consumo,PC
0990866053,Etiqueta Termo Grande,Ativo Imobilizado,PC
1095,BOLEIRA NATURAL,Material de Consumo,PC
1034,Licor Camu Camu,Materia Prima,LT
0990866074,Bowls de inox,Ativo Imobilizado,PC
9990111070,Polpa Frutas Vermelhas,Materia Prima,KG
9990111066,Polpa de Morango,Materia Prima,KG
0990866056,Estante modular 5 prateleiras,Ativo Imobilizado,PC
900,Modelagem personalizadda,Embalagem,PC
901,Imperssão personalizada,Embalagem,PC
0990866058,Cilindro Nitrogênio Comprimido,Ativo Imobilizado,UND
0990866059,Regulador de nitrogênio,Ativo Imobilizado,UND
0990866057,Moedor de Café Tramontina,Ativo Imobilizado,PC
0020321001,Barra 60g Terroir da Amazonia MOCA,Produto em Processo,PC
0990866061,Microondas loja,Ativo Imobilizado,PC
0990866062,Computador branco,Ativo Imobilizado,PC
0990866064,Tv Escritório,Ativo Imobilizado,PC
0990866065,Soprador Têrmico,Ativo Imobilizado,PC
0990866068,Toldo Loja,Ativo Imobilizado,PC
0190213127,Caixa SSAL TRIPLA,Embalagem,PC
0190213128,Caixa SSAL DUPLA,Embalagem,PC
0190213129,Caixa SSAL Redonda,Embalagem,PC
0990866069,modem Ibirapuera,Ativo Imobilizado,PC
0990866072,Prateleiras carrinhos produção,Ativo Imobilizado,PC
0990866075,Impressoara Elgin i9 Full Guilhotina,Ativo Imobilizado,PC
0990866073,Impressora Elgin notas,Ativo Imobilizado,PC
0200216013,Papel Chumbo Toffe,Embalagem,PC
0200216014,Papel Chumbo Prata,Embalagem,PC
0200216015,Papel Chumbo Azul Claro,Embalagem,PC
1088,Kit Cafeteira V60-02 Jarra Suporte,Material de Consumo,PC
0990866109,Prato de Bolo Home Style Vista 24 cm,Material de Consumo,PC
0990866093,Equip inno choco spray 2021 3.1,Ativo Imobilizado,PC
0990866094,EQUIP ESTUFA INNO,Ativo Imobilizado,PC
864,Pao frances,Outras,KG
0990866076,Porta Comanda,Ativo Imobilizado,PC
0990866077,Cooktop Itatiaia Master 4 Bocas,Ativo Imobilizado,PC
0990866078,Balança de precissão,Ativo Imobilizado,PC
0050111003,Semente de Cumaru,Materia Prima,KG
0190213137,Tampa Copo Sorvete,Embalagem,PC
0190213136,Copo Sorvete,Embalagem,PC
870,POTE PAPEL KRAFT MOLHO 70ML,Embalagem,PC
872,POTE PAPEL KRAFT MOLHOS 120 ML,Embalagem,PC
873,TAMPA PET 67MM - 40 X 50,Embalagem,PC
874,MALETA KRAFT COM TAMPA ACLOPADA 1100 ML,,PC
0990866092,Caixa Hermética 21L,Ativo Imobilizado,PC
0990866099,Janela de plastico,Ativo Imobilizado,PC
1000,Caixa box 2 pardo B,Embalagem,PC
1001,Caixa box 3 pardo B,Embalagem,PC
1002,Caixa box 4 pardo B,Embalagem,PC
0990866096,Impressora Multifuncional HP,Ativo Imobilizado,PC
0990866100,Impressora bluetooth para android,Ativo Imobilizado,PC
0990815002,Caixa Desmontável Verde,Material de Consumo,PC
0990815003,Caixa Desmontável Branca,Material de Consumo,PC
0990815004,Caixa Agrícola Preta,Material de Consumo,PC
1111,Caixa Agricola Preta,Material de Consumo,PC
9990451001,One Shot  OSD-3  Vonin,Ativo Imobilizado,PC
9990451002,Tunel de resfriamento 6metros Vonin,Ativo Imobilizado,PC
9990451003,Flow pack  Cassan,Ativo Imobilizado,PC
0990866101,MEDIDOR DE UMIDADE MUG,Ativo Imobilizado,PC
1076,Base Para Tamper Compactar Cafe,Material de Consumo,PC
923,QUEIJO MUSSARELA FATIADO,Outras,KG
99901110703,Gema de ovo pasteurizada,Materia Prima,KG
99901110704,Clara de ovo pasteurizada,Materia Prima,KG
9990111076,Margarina Copa,Material de Consumo,KG
01401068051,Açúcar copa,Material de Consumo,PC
0190213164,Caixa ES Ao Leite Praliné Avelã,Embalagem,PC
0190213165,Caixa ES Ao Leite com Praliné e Maracujá,Embalagem,PC
0190213166,Caixa ES Ao Leite Praliné de Pistache,Embalagem,PC
0190213167,Caixa ES Intenso Praliné Avelã,Embalagem,PC
0190213159,Caixa Ovo de Páscoa 420g 2026,Embalagem,PC
812,CRACHA PERSONALIZADO,Outros Insumos,PC
0990815001,Camiseta Manga Longa Branca EGG,Material de Consumo,PC
9990712065,Etiqueta Couche 70 mmx40mm Adesiva,Embalagem,PC
999011184,Maracujá Liofilizado,Materia Prima,KG
876,"bancada granito preto Sao Gabriel 2,0",Outras,PC
0990815005,Tábua para Análise de Amêndoas de Cacau,Material de Consumo,PC
840,Papel celofani laranja 69x89,Embalagem,PC
842,Camisa Sensoriale,EPIs,PC
0990866108,Corrente simples DIN 12B-1 em aço inox,Material de Consumo,PC
0991015002,Calça de Brim Branca,Material de Consumo,PC
0190213162,Fita Cetim Azul Sideral 15mm,Embalagem,PC
0990101001,Amêndoa de Cacau Terceiros,Materia Prima,KG
0990866103,Pipoqueira Elétrica Pop Red Lenoxx 127v,Ativo Imobilizado,PC
927,Molde de Silicone Alimenticio mod-01,Outros Insumos,PC
928,Molde de Silicone Alimenticio mod-02,Outros Insumos,PC
943,Matriz personalizada,,PC
944,Molde silicone Alimenticio,,PC
9990111064,Pão Francês,Materia Prima,KG
935,Exaustor,Outros Insumos,PC
866,Mesa inox sala de amêndoas,Outras,PC
896,Coifa de cozinha,Material de Consumo,PC
908,Colher Biodegradável,Embalagem,PC
909,organizador amobox 500 ml,Embalagem,PC
9990451009,Prateleira de inox - 120cm,Ativo Imobilizado,UND
05004014,MAGIO Língua de Onça Intso Praliné Cx80g,Produto Acabado,PC
05004007,MAGIO PF Sakaguchi 78% 60g,Produto Acabado,PC
02002160121,Papel Almofada 7 camadas black + impress,Embalagem,PC
02002160122,Papel Almofada 344 x234mm,Embalagem,PC
02002160123,Papel almofada 300x95mm,Embalagem,PC
01902131561,Candy Pad branco caixa 30,Embalagem,PC
01902131562,Candy Pad branco caixa 14,Embalagem,PC
0190213152,Candy Pad Caixa Simples SSAL,Embalagem,PC
0190213153,Candy Pad Caixa Dupla SSAL,Embalagem,PC
0190213154,Candy Pad Caixa 7 camadas black,Embalagem,PC
934,Extensão Cabo,Outros Insumos,PC
939,Termometro Analogico Forno,Outros Insumos,PC
940,Palito mexedor de café,Embalagem,PC
0540001,Pão de queijo 70 gr,Mercadoria de Revenda,UNI
0540002,Pão de queijo com requeijão 100gr,Mercadoria de Revenda,UNI
9990712068,"ADESIVO SSAL - 1,1X4,5CM",Embalagem,PC
974,EXTINTOR C/CARGA DE AGUA 10 LITROS,Ativo Imobilizado,PC
975,EXTINTOR C/CARGA DE PO QUIMICO 04 KG,Ativo Imobilizado,PC
976,EXTINTOR C/CARGA DE GAS CARBONICO 06 KG,Ativo Imobilizado,PC
988,Vitrine Fria Beta 62 cm Preta,Material de Consumo,PC
1004,Caixa térmica 75 litros,Embalagem,PC
1006,Capa para Quiosque,Material de Consumo,PC
1005,Pá para caldeirão 100cm,Material de Consumo,PC
99702004,ETIQUETA TERMICA 15 X 30 MM,Embalagem,PC
99702006,ETIQUETA TERMICA 50 X 40MM,Embalagem,PC
1009,SABONETEIRA,Material de Consumo,PC
1010,ETIQUETA DE IDENTIFICAÇÃO DE ALIMENTOS,Embalagem,PC
1011,LIXEIRA,Material de Consumo,PC
1012,BOWL PROFISSIONAL,Material de Consumo,PC
1013,CAIXA EMPILHÁVEL,Embalagem,PC
1042,Organizador Multiuso 5 divisões,Material de Consumo,PC
1020,CACHAÇA DE JAMBU,Materia Prima,PC
1025,BARQUINHA 13CM,Embalagem,PC
1069,Termometro Laser Digital,Material de Consumo,PC
1024,"BARQUINHA 8,5 CM",Embalagem,PC
99903110171,Jambu Desidratado,Materia Prima,KG
99903150281,POLPA BACURI,Material de Consumo,KG
99903150282,POLPA MURICI,Material de Consumo,KG
1048,óleo mineral,Material de Consumo,PC
1055,Valvula Duchao Blukit,Material de Consumo,PC
99901110604,Camu Camu liofilizado,Materia Prima,KG
1053,Expositor Apoio De Carteira Em Acrilico,Material de Consumo,PC
1054,Licor Jambu,Material de Consumo,LT
1056,Balanca Para Cafe Profissional,Material de Consumo,PC
1058,Extrato Natural de Baunilha,Materia Prima,LT
1061,Gelox 400g,Material de Consumo,PC
1062,Gelox 80g,Material de Consumo,PC
1063,Caixa com Berço 50 bombons,Embalagem,PC
1079,Caixa com berço 30 bombons,Embalagem,PC
1071,CAIXAS DE PAPELÃO KLABIN,Embalagem,PC
1072,Cúpula Acrílica 31 X 31 X 5 Cm,Material de Consumo,PC
1073,Caixa organizadora Plastica,Material de Consumo,PC
1070,Pasta Sanfonada A4,Material de Consumo,PC
1074,Lousa Cortica 40x30,Material de Consumo,PC
1077,Borrifador Pulverizador,Material de Consumo,PC
1080,escada 3 degraus,Material de Consumo,PC
1082, Kit 10 Displays De Parede A4,Material de Consumo,PC
1083,Livro defesa consumidor,Material de Consumo,PC
1084,Fita Dupla Face,Material de Consumo,PC
1085,Porta Talher Acrilico,Material de Consumo,PC
1086,Chaleira Bule,Material de Consumo,PC
1087,Pasta Catalogo Oficio com 100 envelopes,Material de Consumo,PC
1089,Leiteira Pitcher,Material de Consumo,PC
1091,Pincel Marcador Permanente,Material de Consumo,PC
1092,Alfinete colorido,Material de Consumo,PC
1093,Caixa Gaveta Batedora De Borra Cafe,Material de Consumo,PC
1094,POTE PAPEL KRAFT MOLHOS 80 ML,Embalagem,PC
1099,Melhorador para panetone,Materia Prima,KG
1100,Fermento Biológico Seco,Materia Prima,KG
1101,Farinha Le 5 Stagioni,Materia Prima,KG
1102,Bico de Recheio,Material de Consumo,PC
00801013,Mel,Materia Prima,KG
1107,Seringa Embutidora Fazer Linguica,Embalagem,PC
1108,Garfo,Material de Consumo,PC
1109,Espatula de aço Inox,Material de Consumo,PC
1110,Acrilico com 3 degraus,Material de Consumo,PC
1113,Propianato de cálcio,Materia Prima,KG
1118,Arame para fechar embalagem,Material de Consumo,PC
1119,Banana passa,Materia Prima,KG
1120,Expositor acrilico 6 degraus,Material de Consumo,PC
1121,Organizador de metal,Material de Consumo,PC
099081500083,amostra camisetas,Material de Consumo,PC
1125,Guardanapo Loja,Material de Consumo,PC
1137,Platico bolha colmeia,Material de Consumo,RL
99901110701,Gema de ovo em pó,Materia Prima,KG
99901110702,Creme Culinário,Materia Prima,KG
999011187,Cupuaçu Cristalizado,Materia Prima,KG
01902130501,Embalagem gourmet panetone,Embalagem,PC
99904510071,Melanger 4.5kg,Material de Consumo,PC
99904510072,Melanger 17kg,Material de Consumo,PC
99904510073,Cuba completa melanger 4.5kg,Material de Consumo,PC
99901110601,Fermento Biológico Fresco,Materia Prima,KG
99901110061,Manteiga 80%,Materia Prima,KG
099081501,Porta guardanapo com divisórias em madei,Material de Consumo,PC
09908660521,Forma de Panetone,Embalagem,PC
999080081,Tapete sanizante,Material de Consumo,PC
99901110621,Polpa Tucumã,Materia Prima,KG
99901110603,Laranja em tiras,Materia Prima,KG
99901110605,Plástico para Panetone Incolor,Embalagem,PC
999011185,Desmoldante Unta Forma,Materia Prima,LT
019021309,"Flowpack Ao Leite Sibionics - 3,3g",Embalagem,PC
0190213804,Caixa Bolo Alto 28x28x25,Embalagem,PC
09908661003,Escorredor de Louça,Material de Consumo,PC
0990815006,Porta chaves,Outras,PC
0990815007,Fita Fecho Adesivo 20mm X 5mts,Outras,MT
09908150011,Cabo Usb,Material de Consumo,PC
999011182,Café Liofilizado,Materia Prima,KG
999011186,Amido modificado,Materia Prima,KG
099081500013,Pote 250ml,Material de Consumo,PC
09908660031,Forma de silicone esfera 70mm,Material de Consumo,PC
099081500014,Pote 500ml,Material de Consumo,PC
09908150012,Saco Pouch Prata,Material de Consumo,PC
99901110421,Canela em pó,Materia Prima,KG
09908660011,Marcador de fatias,Ativo Imobilizado,PC
99901110422,Chocolate em pó,Materia Prima,KG
099081500011,Pote Kraft 1lt,Embalagem,PC
099081500012,Tampa pote kraft,Embalagem,PC
