sku,descricao,categoria_produto,unidade
05004131,Ovo Ao Leite com Avelã e Maracujá 590g,Produto Acabado,PC
05004134, Ovo de Choco ao Leite Praliné Pist sc,Produto Acabado,PC
05004135,Ovo Marajoara - Avelã e Maracujá 590g sc,Produto Acabado,PC
05004136,Cesta Magio 01 - Dia dos namorados,Produto Local,PC
05004137,Cesta Magio Tamanho 01,Produto Local,PC
05004138,Língua de Onça Int Praliné Flowpack 11g,Produto Acabado,PC
05004139,Língua de Onça Leite Flowpack 11g,Produto Acabado,PC
05004140,Língua de Onça Intenso Flowpack 11g,Produto Acabado,PC
05004141,Língua de Onça Cupulate Flowpack 11g,Produto Acabado,UN
05004142,Barra ES Chocolate Lt Maracujá 29g,Produto Acabado,PC
05004143,Barra ES Chocolate Lt Pistache 29g,Produto Acabado,PC
05004144,Barra ES Chocolate Lt Cupuaçu 29g,Produto Acabado,PC
05004156,Sorvete de Chocolate Mágio 100ml,Mercadoria de Revenda,PC
05004157,Sorvete de Açaí 100ml,Mercadoria de Revenda,PC
05004158,Sorvete de Cupuaçu 100ml,Mercadoria de Revenda,PC
05004159,Ovo Marajoara - Recheio de Maracujá 420g,Produto Acabado,PC
05004160,Ovo Marajoara - Praliné de Avelã 420g,Produto Acabado,PC
05004161,Ovo Marajoara - Recheio de Cupuaçu 420g,Produto Acabado,PC
05004162,Ovo - Recheio de Maracujá 420g,Produto Acabado,PC
05004163,Ovo - Praliné de Avelã 420g,Produto Acabado,PC
05004164,Ovo - Recheio de Cupuaçu 420g,Produto Acabado,PC
05004165,Trio de Mini Ovos 75g,Produto Acabado,PC
05004166,Ovo de Páscoa Chocolate Ao Leite 100g,Produto Acabado,PC
05004167,Lingua de Onça Choco ao Leite 11g WTC,Produto Acabado,PC
05004168,Caixa Amor Amazônico A,Produto Acabado,PC
05004169,Caixa Amor Amazônico B,Produto Acabado,PC
05004170,Caixa Amor Amazônico C,Produto Acabado,PC
05004171,Barra Inclusões I 200g,Produto Acabado,PC
05004172,Barra Inclusões II 200g,Produto Acabado,PC
05004173,Barra Inclusões III 200g,Produto Acabado,PC
05004174,Caixa Jornada das Comunidades,Produto Acabado,PC
05004175,MAGIO Lg de Onça Ao Leite Zero Cx76g,Produto Acabado,PC
05004176,MAGIO Lg de Onça Intenso Zero Cx76g,Produto Acabado,PC
05004178,MAGIO PF Xiba 63% 60g,,PC
