sku,origem,data_faturamento,quantidade,descricao
05304005,Alm_SP_Loja,2025-09-22,1,Cafe Expresso
05400009,Alm_SP_Loja,2025-09-22,1,Pão de queijo da canastra 40gr
05104077,Alm_SP_Loja,2025-09-22,1,Biscoito Puxuri Chocolate - Unitário
05104078,Alm_SP_Loja,2025-09-22,1,Língua de Onça ao leite 11g - CAFETERIA
05304009,Alm_SP_Loja,2025-09-22,1,Cappuccino Língua de Onça
05104077,Alm_SP_Loja,2025-09-22,1,Biscoito Puxuri Chocolate - Unitário
05304005,Alm_SP_Loja,2025-09-22,1,Cafe Expresso
05104078,Alm_SP_Loja,2025-09-22,1,Língua de Onça ao leite 11g - CAFETERIA
05304009,Alm_SP_Loja,2025-09-22,1,Cappuccino Língua de Onça
05400003,Alm_SP_Loja,2025-09-20,1,Coca-Cola Tradicional Lata 350ml
05104077,Alm_SP_Loja,2025-09-20,1,Biscoito Puxuri Chocolate - Unitário
05104078,Alm_SP_Loja,2025-09-20,1,Língua de Onça ao leite 11g - CAFETERIA
05304009,Alm_SP_Loja,2025-09-20,1,Cappuccino Língua de Onça
05104077,Alm_SP_Loja,2025-09-20,1,Biscoito Puxuri Chocolate - Unitário
05104078,Alm_SP_Loja,2025-09-20,1,Língua de Onça ao leite 11g - CAFETERIA
05304009,Alm_SP_Loja,2025-09-20,1,Cappuccino Língua de Onça
05004016,Alm_SP_Loja,2025-09-20,2,MAGIO Lg de Onça Lt Praliné Avelã Cx80g
05004056,Alm_SP_Loja,2025-09-20,1,Barra ES Leite Praliné de Pistache 80g
05004057,Alm_SP_Loja,2025-09-20,1,Barra ES ao Leite Praliné de Avelã 80g
05004097,Alm_SP_Loja,2025-09-20,1,Barra ES Leite com Avelã e Maracujá 80g
05104022,Alm_SP_Loja,2025-09-20,1,Trufas Nativas Pistache 20g
05104061,Alm_SP_Loja,2025-09-20,1,Língua de Onça Leite Praliné 5g
05304010,Alm_SP_Loja,2025-09-20,1,Cafe Carioca
05304014,Alm_SP_Loja,2025-09-20,1,Chocolate Quente P
05004010,Alm_SP_Loja,2025-09-20,1,MAGIO Povos Mocajuba 74% 60g
05004056,Alm_SP_Loja,2025-09-20,1,Barra ES Leite Praliné de Pistache 80g
05004097,Alm_SP_Loja,2025-09-20,1,Barra ES Leite com Avelã e Maracujá 80g
05004009,Alm_SP_Loja,2025-09-20,1,MAGIO Povos Xiba 81% 60g
05104003,Alm_SP_Loja,2025-09-20,1,Lua Cheia Chocolate Ao Leite 20g
05104022,Alm_SP_Loja,2025-09-20,1,Trufas Nativas Pistache 20g
05104061,Alm_SP_Loja,2025-09-20,1,Língua de Onça Leite Praliné 5g
05104071,Alm_SP_Loja,2025-09-20,1,Bombom Bom Jardim Intenso 10g
05304006,Alm_SP_Loja,2025-09-20,1,Cafe Expresso com Leite Pequeno
05104077,Alm_SP_Loja,2025-09-19,1,Biscoito Puxuri Chocolate - Unitário
05304007,Alm_SP_Loja,2025-09-19,1,Macchiato
05104003,Alm_SP_Loja,2025-09-19,1,Lua Cheia Chocolate Ao Leite 20g
05104018,Alm_SP_Loja,2025-09-19,1,"Bombom SF Leite Ganache de Cupuaçu 7,7g"
05304011,Alm_SP_Loja,2025-09-19,1,Latte Gelado
05400009,Alm_SP_Loja,2025-09-19,1,Pão de queijo da canastra 40gr
05004014,Alm_SP_Loja,2025-09-19,1,MAGIO Língua de Onça Intso Praliné Cx80g
05104056,Alm_SP_Loja,2025-09-19,1,Língua de Onça Intenso Praliné 11g
05104062,Alm_SP_Loja,2025-09-19,1,Língua de Onça Chocolate Intenso 5g
05304010,Alm_SP_Loja,2025-09-19,1,Cafe Carioca
05104077,Alm_SP_Loja,2025-09-19,1,Biscoito Puxuri Chocolate - Unitário
05304007,Alm_SP_Loja,2025-09-19,1,Macchiato
05004005,Alm_SP_Loja,2025-09-19,1,MAGIO Povos Bom Jardim 63% 60g
05004016,Alm_SP_Loja,2025-09-19,1,MAGIO Lg de Onça Lt Praliné Avelã Cx80g
05004043,Alm_SP_Loja,2025-09-19,1,Formigueiro Caramelo de Maracujá Cx 80g
05004047,Alm_SP_Loja,2025-09-19,1,Biscoito Cast. Pará Chocolate 60% 150g
05004097,Alm_SP_Loja,2025-09-19,1,Barra ES Leite com Avelã e Maracujá 80g
05104061,Alm_SP_Loja,2025-09-19,2,Língua de Onça Leite Praliné 5g
05304005,Alm_SP_Loja,2025-09-19,2,Cafe Expresso
05004016,Alm_SP_Loja,2025-09-19,1,MAGIO Lg de Onça Lt Praliné Avelã Cx80g
05104061,Alm_SP_Loja,2025-09-19,2,Língua de Onça Leite Praliné 5g
05304005,Alm_SP_Loja,2025-09-19,1,Cafe Expresso
05304010,Alm_SP_Loja,2025-09-19,1,Cafe Carioca
05004017,Alm_SP_Loja,2025-09-19,1,Língua de Onça Leit Praliné Flowpack 11g
05104077,Alm_SP_Loja,2025-09-19,1,Biscoito Puxuri Chocolate - Unitário
05304005,Alm_SP_Loja,2025-09-19,1,Cafe Expresso
05004027,Alm_SP_Loja,2025-09-19,1,Caixa Presente M
05104005,Alm_SP_Loja,2025-09-19,4,Lua Cheia Chocolate Intenso 20g
05104007,Alm_SP_Loja,2025-09-19,4,Bombom Intenso Praliné 10g
05104020,Alm_SP_Loja,2025-09-19,2,Trufas Nativas de Chocolate Intenso  20G
05104071,Alm_SP_Loja,2025-09-19,4,Bombom Bom Jardim Intenso 10g
05104033,Alm_SP_Loja,2025-09-19,1,Formigueiro Caramelo de Maracujá 16g
05104077,Alm_SP_Loja,2025-09-19,1,Biscoito Puxuri Chocolate - Unitário
05304005,Alm_SP_Loja,2025-09-19,1,Cafe Expresso
05104005,Alm_SP_Loja,2025-09-19,1,Lua Cheia Chocolate Intenso 20g
05104018,Alm_SP_Loja,2025-09-19,1,"Bombom SF Leite Ganache de Cupuaçu 7,7g"
05104077,Alm_SP_Loja,2025-09-19,1,Biscoito Puxuri Chocolate - Unitário
05304010,Alm_SP_Loja,2025-09-19,1,Cafe Carioca
05104077,Alm_SP_Loja,2025-09-19,2,Biscoito Puxuri Chocolate - Unitário
05304012,Alm_SP_Loja,2025-09-19,2,Cafe Canela
05104077,Alm_SP_Loja,2025-09-18,1,Biscoito Puxuri Chocolate - Unitário
05104078,Alm_SP_Loja,2025-09-18,1,Língua de Onça ao leite 11g - CAFETERIA
05304009,Alm_SP_Loja,2025-09-18,1,Cappuccino Língua de Onça
05004016,Alm_SP_Loja,2025-09-18,1,MAGIO Lg de Onça Lt Praliné Avelã Cx80g
05004027,Alm_SP_Loja,2025-09-18,1,Caixa Presente M
05004047,Alm_SP_Loja,2025-09-18,1,Biscoito Cast. Pará Chocolate 60% 150g
05004140,Alm_SP_Loja,2025-09-18,3,Língua de Onça Intenso Flowpack 11g
05104005,Alm_SP_Loja,2025-09-18,1,Lua Cheia Chocolate Intenso 20g
05104007,Alm_SP_Loja,2025-09-18,2,Bombom Intenso Praliné 10g
05104012,Alm_SP_Loja,2025-09-18,2,Bombom SF Leite Praliné de Pistache 10g
05104016,Alm_SP_Loja,2025-09-18,2,"Bombom SF Leite Ganache de Maracujá 7,7g"
05104018,Alm_SP_Loja,2025-09-18,2,"Bombom SF Leite Ganache de Cupuaçu 7,7g"
05104022,Alm_SP_Loja,2025-09-18,1,Trufas Nativas Pistache 20g
05400009,Alm_SP_Loja,2025-09-18,1,Pão de queijo da canastra 40gr
05104061,Alm_SP_Loja,2025-09-18,1,Língua de Onça Leite Praliné 5g
05304005,Alm_SP_Loja,2025-09-18,2,Cafe Expresso
05104012,Alm_SP_Loja,2025-09-18,1,Bombom SF Leite Praliné de Pistache 10g
05104016,Alm_SP_Loja,2025-09-18,1,"Bombom SF Leite Ganache de Maracujá 7,7g"
05104018,Alm_SP_Loja,2025-09-18,1,"Bombom SF Leite Ganache de Cupuaçu 7,7g"
05104028,Alm_SP_Loja,2025-09-18,1,Língua de Onça Cupulate 11g
05104071,Alm_SP_Loja,2025-09-18,1,Bombom Bom Jardim Intenso 10g
05104077,Alm_SP_Loja,2025-09-18,1,Biscoito Puxuri Chocolate - Unitário
05304005,Alm_SP_Loja,2025-09-18,1,Cafe Expresso
05104060,Alm_SP_Loja,2025-09-18,2,Língua de Onça Chocolate ao Leite 5g
05304005,Alm_SP_Loja,2025-09-18,2,Cafe Expresso
05104062,Alm_SP_Loja,2025-09-18,1,Língua de Onça Chocolate Intenso 5g
05104077,Alm_SP_Loja,2025-09-18,1,Biscoito Puxuri Chocolate - Unitário
05304012,Alm_SP_Loja,2025-09-18,2,Cafe Canela
05104061,Alm_SP_Loja,2025-09-18,1,Língua de Onça Leite Praliné 5g
05104062,Alm_SP_Loja,2025-09-18,2,Língua de Onça Chocolate Intenso 5g
05304005,Alm_SP_Loja,2025-09-18,2,Cafe Expresso
05304010,Alm_SP_Loja,2025-09-18,1,Cafe Carioca
05004014,Alm_SP_Loja,2025-09-18,1,MAGIO Língua de Onça Intso Praliné Cx80g
05104071,Alm_SP_Loja,2025-09-18,1,Bombom Bom Jardim Intenso 10g
05104077,Alm_SP_Loja,2025-09-18,1,Biscoito Puxuri Chocolate - Unitário
05304005,Alm_SP_Loja,2025-09-18,1,Cafe Expresso
05004014,Alm_SP_Loja,2025-09-18,1,MAGIO Língua de Onça Intso Praliné Cx80g
05104062,Alm_SP_Loja,2025-09-18,1,Língua de Onça Chocolate Intenso 5g
05104071,Alm_SP_Loja,2025-09-18,1,Bombom Bom Jardim Intenso 10g
05304005,Alm_SP_Loja,2025-09-18,1,Cafe Expresso
05004047,Alm_SP_Loja,2025-09-18,1,Biscoito Cast. Pará Chocolate 60% 150g
05104012,Alm_SP_Loja,2025-09-18,1,Bombom SF Leite Praliné de Pistache 10g
05104028,Alm_SP_Loja,2025-09-18,1,Língua de Onça Cupulate 11g
05104060,Alm_SP_Loja,2025-09-18,1,Língua de Onça Chocolate ao Leite 5g
05104071,Alm_SP_Loja,2025-09-18,1,Bombom Bom Jardim Intenso 10g
05104077,Alm_SP_Loja,2025-09-18,1,Biscoito Puxuri Chocolate - Unitário
05304008,Alm_SP_Loja,2025-09-18,1,Cappuccino Lingua de Onca Pequeno
05004097,Alm_SP_Loja,2025-09-18,1,Barra ES Leite com Avelã e Maracujá 80g
05104025,Alm_SP_Loja,2025-09-18,1,Formigueiro Praliné de Avelã 16g
05004016,Alm_SP_Loja,2025-09-18,1,MAGIO Lg de Onça Lt Praliné Avelã Cx80g
05004056,Alm_SP_Loja,2025-09-18,1,Barra ES Leite Praliné de Pistache 80g
05004097,Alm_SP_Loja,2025-09-18,1,Barra ES Leite com Avelã e Maracujá 80g
05104018,Alm_SP_Loja,2025-09-18,1,"Bombom SF Leite Ganache de Cupuaçu 7,7g"
05104025,Alm_SP_Loja,2025-09-18,1,Formigueiro Praliné de Avelã 16g
05104077,Alm_SP_Loja,2025-09-18,1,Biscoito Puxuri Chocolate - Unitário
05304006,Alm_SP_Loja,2025-09-18,1,Cafe Expresso com Leite Pequeno
05004047,Alm_SP_Loja,2025-09-18,1,Biscoito Cast. Pará Chocolate 60% 150g
05004056,Alm_SP_Loja,2025-09-18,1,Barra ES Leite Praliné de Pistache 80g
05004015,Alm_SP_Loja,2025-09-18,1,MAGIO Língua de Onça ao Leite Cx80g
05004043,Alm_SP_Loja,2025-09-18,1,Formigueiro Caramelo de Maracujá Cx 80g
05104077,Alm_SP_Loja,2025-09-18,1,Biscoito Puxuri Chocolate - Unitário
05104078,Alm_SP_Loja,2025-09-18,1,Língua de Onça ao leite 11g - CAFETERIA
05304009,Alm_SP_Loja,2025-09-18,1,Cappuccino Língua de Onça
05104077,Alm_SP_Loja,2025-09-18,1,Biscoito Puxuri Chocolate - Unitário
05304007,Alm_SP_Loja,2025-09-18,1,Macchiato
05104012,Alm_SP_Loja,2025-09-18,1,Bombom SF Leite Praliné de Pistache 10g
05104028,Alm_SP_Loja,2025-09-18,1,Língua de Onça Cupulate 11g
05104071,Alm_SP_Loja,2025-09-18,1,Bombom Bom Jardim Intenso 10g
05104077,Alm_SP_Loja,2025-09-18,1,Biscoito Puxuri Chocolate - Unitário
05104078,Alm_SP_Loja,2025-09-18,1,Língua de Onça ao leite 11g - CAFETERIA
05304009,Alm_SP_Loja,2025-09-18,1,Cappuccino Língua de Onça
05104077,Alm_SP_Loja,2025-09-18,1,Biscoito Puxuri Chocolate - Unitário
05304005,Alm_SP_Loja,2025-09-18,1,Cafe Expresso
05400009,Alm_SP_Loja,2025-09-18,1,Pão de queijo da canastra 40gr
05004029,Alm_SP_Loja,2025-09-17,1,Caixa Folha Simples a Granel | 100g
05104005,Alm_SP_Loja,2025-09-17,2,Lua Cheia Chocolate Intenso 20g
05104018,Alm_SP_Loja,2025-09-17,2,"Bombom SF Leite Ganache de Cupuaçu 7,7g"
05104022,Alm_SP_Loja,2025-09-17,2,Trufas Nativas Pistache 20g
05104026,Alm_SP_Loja,2025-09-17,2,Língua de Onça Chocolate ao Leite 11g
05004006,Alm_SP_Loja,2025-09-17,1,MAGIO Povos Vale do Jari 65% 60g
05004014,Alm_SP_Loja,2025-09-17,1,MAGIO Língua de Onça Intso Praliné Cx80g
05004043,Alm_SP_Loja,2025-09-17,1,Formigueiro Caramelo de Maracujá Cx 80g
05104062,Alm_SP_Loja,2025-09-17,1,Língua de Onça Chocolate Intenso 5g
05304005,Alm_SP_Loja,2025-09-17,1,Cafe Expresso
05004006,Alm_SP_Loja,2025-09-17,1,MAGIO Povos Vale do Jari 65% 60g
05004008,Alm_SP_Loja,2025-09-17,1,MAGIO Povos Sakaguchi Cupulate 58% 60g
05104018,Alm_SP_Loja,2025-09-17,1,"Bombom SF Leite Ganache de Cupuaçu 7,7g"
05104077,Alm_SP_Loja,2025-09-17,1,Biscoito Puxuri Chocolate - Unitário
05304005,Alm_SP_Loja,2025-09-17,2,Cafe Expresso
05004029,Alm_SP_Loja,2025-09-17,1,Caixa Folha Simples a Granel | 100g
05104018,Alm_SP_Loja,2025-09-17,4,"Bombom SF Leite Ganache de Cupuaçu 7,7g"
05104020,Alm_SP_Loja,2025-09-17,2,Trufas Nativas de Chocolate Intenso  20G
05104022,Alm_SP_Loja,2025-09-17,2,Trufas Nativas Pistache 20g
05104028,Alm_SP_Loja,2025-09-17,4,Língua de Onça Cupulate 11g
05104033,Alm_SP_Loja,2025-09-17,2,Formigueiro Caramelo de Maracujá 16g
05104061,Alm_SP_Loja,2025-09-17,2,Língua de Onça Leite Praliné 5g
05304005,Alm_SP_Loja,2025-09-17,2,Cafe Expresso
05004016,Alm_SP_Loja,2025-09-17,1,MAGIO Lg de Onça Lt Praliné Avelã Cx80g
05004017,Alm_SP_Loja,2025-09-17,1,Língua de Onça Leit Praliné Flowpack 11g
05104062,Alm_SP_Loja,2025-09-17,1,Língua de Onça Chocolate Intenso 5g
05104077,Alm_SP_Loja,2025-09-17,1,Biscoito Puxuri Chocolate - Unitário
05304005,Alm_SP_Loja,2025-09-17,2,Cafe Expresso
05004029,Alm_SP_Loja,2025-09-17,1,Caixa Folha Simples a Granel | 100g
05104005,Alm_SP_Loja,2025-09-17,1,Lua Cheia Chocolate Intenso 20g
05104008,Alm_SP_Loja,2025-09-17,2,Bombom ao Leite Praliné 10g
05104020,Alm_SP_Loja,2025-09-17,1,Trufas Nativas de Chocolate Intenso  20G
05104025,Alm_SP_Loja,2025-09-17,2,Formigueiro Praliné de Avelã 16g
05104032,Alm_SP_Loja,2025-09-17,2,Formigueiro Praliné de Pistache 16g
05104061,Alm_SP_Loja,2025-09-17,1,Língua de Onça Leite Praliné 5g
05304005,Alm_SP_Loja,2025-09-17,1,Cafe Expresso
05004014,Alm_SP_Loja,2025-09-17,1,MAGIO Língua de Onça Intso Praliné Cx80g
05104005,Alm_SP_Loja,2025-09-17,1,Lua Cheia Chocolate Intenso 20g
05104060,Alm_SP_Loja,2025-09-17,1,Língua de Onça Chocolate ao Leite 5g
05104077,Alm_SP_Loja,2025-09-17,1,Biscoito Puxuri Chocolate - Unitário
05304008,Alm_SP_Loja,2025-09-17,1,Cappuccino Lingua de Onca Pequeno
05304013,Alm_SP_Loja,2025-09-17,1,Chocolate quente ao leite
05304014,Alm_SP_Loja,2025-09-17,1,Chocolate Quente P
05400009,Alm_SP_Loja,2025-09-17,3,Pão de queijo da canastra 40gr
05004029,Alm_SP_Loja,2025-09-17,1,Caixa Folha Simples a Granel | 100g
05104005,Alm_SP_Loja,2025-09-17,1,Lua Cheia Chocolate Intenso 20g
05104025,Alm_SP_Loja,2025-09-17,1,Formigueiro Praliné de Avelã 16g
05104033,Alm_SP_Loja,2025-09-17,1,Formigueiro Caramelo de Maracujá 16g
05104071,Alm_SP_Loja,2025-09-17,1,Bombom Bom Jardim Intenso 10g
