numero_op,sku_produto_final,sku_material,descricao_material,qtd_consumo,qtd_previsto,qtd_diferenca,data_registro,data_producao,status
4071,0050305013,0050305006,MASSA DE CHOCOLATE -AO LEITE   NF24,0.495,0.495,0,2026-05-18,2026-05-15,Produzida
4071,0050305013,9990307008,Pomada de manteiga de cacau,0,0.005,-0.005,2026-05-18,2026-05-15,Produzida
4070,05104060,0050305013,PP LÍNGUA DE ONÇA 5G AO LEITE,100,100,0,2026-05-18,2026-05-18,Produzida
4068,05104081,0050321024,Barra 80 GR  Caram de Maracujá+praliné,2,2,0,2026-05-18,2026-05-14,Produzida
4068,05104081,0190213056,Envelope plastico transparente,2,2,0,2026-05-18,2026-05-14,Produzida
4067,9990311036,0050305006,MASSA DE CHOCOLATE -AO LEITE   NF24,0.1623,0.1374,0.0249,2026-05-18,2026-05-14,Produzida
4067,9990311036,0140106804,Açúcar invertido,0.0162,0,0.0162,2026-05-18,2026-05-14,Produzida
4067,9990311036,9990107001,MANTEIGA DE CACAU desodorizada,0,0.0023,-0.0023,2026-05-18,2026-05-14,Produzida
4067,9990311036,9990111006,Manteiga de Leite,0.0192,0.0205,-0.0013,2026-05-18,2026-05-14,Produzida
4067,9990311036,9990111008,Xarope de glucose,0,0.0252,-0.0252,2026-05-18,2026-05-14,Produzida
4067,9990311036,9990111021,DEXTROSE,0,0.0343,-0.0343,2026-05-18,2026-05-14,Produzida
4067,9990311036,9990111023,Sorbitol em Pó,0,0.0275,-0.0275,2026-05-18,2026-05-14,Produzida
4067,9990311036,9990111026,Sal,0.0003,0,0.0003,2026-05-18,2026-05-14,Produzida
4067,9990311036,9990111053,MALTODEXTRINA DE10 1910,0.0002,0,0.0002,2026-05-18,2026-05-14,Produzida
4067,9990311036,9990111054,Sorbato de Potássio Granulado,0.0003,0,0.0003,2026-05-18,2026-05-14,Produzida
4067,9990311036,9990111059,Cupuaçu Liofilizado,0,0.012,-0.012,2026-05-18,2026-05-14,Produzida
4067,9990311036,9990311036,Ganache Cupuaçu,0.5,0,0.5,2026-05-18,2026-05-14,Produzida
4067,9990311036,9990315026,Polpa de Cupuaçu Reduzida,0.0993,0.0526,0.0467,2026-05-18,2026-05-14,Produzida
4065,05104018,0050305006,MASSA DE CHOCOLATE -AO LEITE   NF24,0.2587,0.2587,0,2026-05-18,2026-05-14,Produzida
4065,05104018,9990311036,Ganache Cupuaçu,0.3,0.3881,-0.0881,2026-05-18,2026-05-14,Produzida
4064,05104012,0050305006,MASSA DE CHOCOLATE -AO LEITE   NF24,0.2025,0.2025,0,2026-05-18,2026-05-14,Produzida
4064,05104012,9990311031,Praliné Pistache colagem,0.2475,0.2475,0,2026-05-18,2026-05-14,Produzida
4063,9990311041,0020305008,Massa de Chocolate - Mocajuba Intenso,0.0569,0,0.0569,2026-05-18,2026-05-14,Produzida
4063,9990311041,0050305006,MASSA DE CHOCOLATE -AO LEITE   NF24,0.0545,0.0101,0.0444,2026-05-18,2026-05-14,Produzida
4063,9990311041,0260305001,Massa de Chocolate - Moju Intenso,0,0.0907,-0.0907,2026-05-18,2026-05-14,Produzida
4063,9990311041,9990107001,MANTEIGA DE CACAU desodorizada,0.0033,0.0017,0.0016,2026-05-18,2026-05-14,Produzida
4063,9990311041,9990111006,Manteiga de Leite,0.0116,0.015,-0.0034,2026-05-18,2026-05-14,Produzida
4063,9990311041,9990111008,Xarope de glucose,0.0043,0.0185,-0.0142,2026-05-18,2026-05-14,Produzida
