sku,descricao,data_saida,data_entrada,documento,almoxarifado_origem,almoxarifado_destino,quantidade,lote
05104012,Bombom SF Leite Praliné de Pistache 10g,2026-07-24,2026-07-24,4404,Almox_SP_Fabrica,Almox_SP_Loja,60,050010404G000050426
05104016,"Bombom SF Leite Ganache de Maracujá 7,7g",2026-07-20,2026-07-20,4352,Almox_SP_Processo,Almox_SP_Fabrica,33,0500104028000050826
05104016,"Bombom SF Leite Ganache de Maracujá 7,7g",2026-07-24,2026-07-24,4404,Almox_SP_Fabrica,Almox_SP_Loja,20,0500104028000050526
05104016,"Bombom SF Leite Ganache de Maracujá 7,7g",2026-07-24,2026-07-24,4406,Almox_SP_Processo,Almox_SP_Fabrica,42,0500104028000050926
05104022,Trufas Nativas Pistache 20g,2026-07-24,2026-07-24,4404,Almox_SP_Fabrica,Almox_SP_Loja,34,050010401D000050D26
05104033,Formigueiro Caramelo de Maracujá 16g,2026-07-21,2026-07-21,4375,Almox_SP_Processo,Almox_SP_Fabrica,480,050010402P000050G26
05104033,Formigueiro Caramelo de Maracujá 16g,2026-07-22,2026-07-22,4387,Almox_SP_Fabrica,Almox_SP_Loja,25,050010402P000050B26
05104033,Formigueiro Caramelo de Maracujá 16g,2026-07-24,2026-07-24,4404,Almox_SP_Fabrica,Almox_SP_Loja,35,050010402P000050C26
05104036,Bombom SF Açaí 10g,2026-07-24,2026-07-24,4404,Almox_SP_Fabrica,Almox_SP_Loja,35,050010405H000050426
05104039,Bombom SF Ganache de Taperebá Int 10g,2026-07-20,2026-07-20,4352,Almox_SP_Processo,Almox_SP_Fabrica,18,020010403P000000926
05104039,Bombom SF Ganache de Taperebá Int 10g,2026-07-24,2026-07-24,4404,Almox_SP_Fabrica,Almox_SP_Loja,44,020010403P000000826
05104056,Língua de Onça Intenso Praliné 11g,2026-07-20,2026-07-20,4369,Almox_SP_Fabrica,Almox_SP_Loja,1,020010405S000000126
05104059,Bombom SF Doce de Cupuaçu 10g,2026-07-20,2026-07-20,4352,Almox_SP_Processo,Almox_SP_Fabrica,17,050010405N000050C26
05104059,Bombom SF Doce de Cupuaçu 10g,2026-07-24,2026-07-24,4404,Almox_SP_Fabrica,Almox_SP_Loja,34,050010405N000050B26
05104061,Língua de Onça Leite Praliné 5g,2026-07-22,2026-07-22,4385,Almox_SP_Processo,Almox_SP_Qualidade,71,050010405F000050226
05104063,Língua de Onça Intenso Praliné 5g,2026-07-24,2026-07-24,4406,Almox_SP_Processo,Almox_SP_Fabrica,583,260010404J000010126
05104063,Língua de Onça Intenso Praliné 5g,2026-07-24,2026-07-24,4407,Almox_SP_Processo,Almox_SP_Qualidade,85,260010404J000010126
